"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.45328712463379,27,27,1,"2012-03"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.9572639465332,37,37,1,"2012-03"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.64974498748779,50,49,0.98,"2012-03"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.91805791854858,67,67,1,"2012-03"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.789719581604,61,61,1,"2012-03"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.21926689147949,67,67,1,"2012-03"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",8.22730255126953,42,42,1,"2012-03"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.46693086624146,61,61,1,"2012-03"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.65130758285522,54,54,1,"2012-03"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",11.2457628250122,54,54,1,"2012-04"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.92306327819824,71,69,0.971830985915493,"2012-04"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.63782715797424,65,65,1,"2012-04"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.15094470977783,54,54,1,"2012-04"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.08949089050293,44,44,1,"2012-04"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.76481533050537,50,50,1,"2012-04"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.57671213150024,24,24,1,"2012-04"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.23335337638855,43,43,1,"2012-04"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.67951846122742,48,48,1,"2012-04"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.9916285276413,95,95,1,"2012-04"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.1015796661377,42,42,1,"2012-04"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.27191877365112,42,42,1,"2012-04"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.22481155395508,69,69,1,"2012-04"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",5.88118362426758,27,27,1,"2012-04"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.26121973991394,37,37,1,"2012-04"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.34748888015747,50,50,1,"2012-04"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.71441793441772,67,67,1,"2012-04"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.91837954521179,61,61,1,"2012-04"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.6697084903717,67,67,1,"2012-04"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.29584503173828,42,42,1,"2012-04"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.62206029891968,61,61,1,"2012-04"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.93870294094086,54,51,0.944444444444444,"2012-04"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",10.5018510818481,54,54,1,"2012-05"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",5.0301456451416,71,71,1,"2012-05"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.35678577423096,65,65,1,"2012-05"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.32747936248779,54,54,1,"2012-05"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.21130990982056,44,44,1,"2012-05"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",4.04146432876587,50,50,1,"2012-05"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.78964900970459,24,24,1,"2012-05"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.56370854377747,43,43,1,"2012-05"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.9839015007019,48,48,1,"2012-05"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.65812945365906,95,95,1,"2012-05"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.14468908309937,42,42,1,"2012-05"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.94473600387573,42,42,1,"2012-05"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.80832529067993,69,69,1,"2012-05"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",6.97868871688843,27,27,1,"2012-05"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.22754955291748,37,37,1,"2012-05"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.54982757568359,50,50,1,"2012-05"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.08054447174072,67,67,1,"2012-05"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",3.26587605476379,61,61,1,"2012-05"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.79900979995728,67,67,1,"2012-05"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",7.77133893966675,42,42,1,"2012-05"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",5.1509256362915,61,61,1,"2012-05"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.80194795131683,54,54,1,"2012-05"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",NA,54,0,0,"2012-06"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",NA,71,0,0,"2012-06"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",NA,65,0,0,"2012-06"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",NA,54,0,0,"2012-06"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",NA,44,0,0,"2012-06"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",NA,50,0,0,"2012-06"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",NA,24,0,0,"2012-06"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",NA,43,0,0,"2012-06"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",NA,48,0,0,"2012-06"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",NA,95,0,0,"2012-06"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",NA,42,0,0,"2012-06"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",NA,42,0,0,"2012-06"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",NA,69,0,0,"2012-06"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",NA,27,0,0,"2012-06"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",NA,37,0,0,"2012-06"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",NA,50,0,0,"2012-06"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",NA,67,0,0,"2012-06"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",NA,61,0,0,"2012-06"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",NA,67,0,0,"2012-06"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",NA,42,0,0,"2012-06"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",NA,61,0,0,"2012-06"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",NA,54,0,0,"2012-06"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",9.87729358673096,54,54,1,"2012-07"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.75501251220703,71,71,1,"2012-07"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.38155102729797,65,65,1,"2012-07"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.55102062225342,54,54,1,"2012-07"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.10964345932007,44,44,1,"2012-07"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.81324172019958,50,50,1,"2012-07"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.51949453353882,24,24,1,"2012-07"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.42487168312073,43,43,1,"2012-07"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",4.00500631332397,48,48,1,"2012-07"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.79168736934662,95,95,1,"2012-07"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.18671274185181,42,42,1,"2012-07"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.27216005325317,42,42,1,"2012-07"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.7983603477478,69,69,1,"2012-07"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",6.51638555526733,27,27,1,"2012-07"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.10440373420715,37,37,1,"2012-07"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.69542264938354,50,50,1,"2012-07"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.13369178771973,67,67,1,"2012-07"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",3.06918120384216,61,61,1,"2012-07"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.3562970161438,67,67,1,"2012-07"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",10.8374290466309,42,42,1,"2012-07"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",5.23507976531982,61,61,1,"2012-07"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.24321627616882,54,54,1,"2012-07"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",14.7937173843384,54,54,1,"2012-08"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",5.48079395294189,71,71,1,"2012-08"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.24287962913513,65,65,1,"2012-08"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.28061628341675,54,54,1,"2012-08"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.12073707580566,44,44,1,"2012-08"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.85327196121216,50,50,1,"2012-08"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.36944675445557,24,24,1,"2012-08"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.38855957984924,43,43,1,"2012-08"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.68750023841858,48,48,1,"2012-08"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.76237869262695,95,95,1,"2012-08"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.05593967437744,42,42,1,"2012-08"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.89211225509644,42,42,1,"2012-08"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.7414402961731,69,69,1,"2012-08"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.99192810058594,27,27,1,"2012-08"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.10570597648621,37,37,1,"2012-08"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.01695966720581,50,50,1,"2012-08"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.85201144218445,67,67,1,"2012-08"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.88499784469604,61,61,1,"2012-08"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.09092998504639,67,67,1,"2012-08"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",10.9266300201416,42,42,1,"2012-08"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.92912769317627,61,61,1,"2012-08"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.98936665058136,54,53,0.981481481481482,"2012-08"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",18.4877014160156,54,54,1,"2012-09"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.74887418746948,71,71,1,"2012-09"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.36498999595642,65,65,1,"2012-09"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.28529119491577,54,54,1,"2012-09"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.22500371932983,44,44,1,"2012-09"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.93624663352966,50,50,1,"2012-09"
