"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.37785625457764,54,54,1,"2018-03"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.9736111164093,44,44,1,"2018-03"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",4.37003660202026,50,50,1,"2018-03"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",5.58312845230103,24,24,1,"2018-03"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",4.18226051330566,43,43,1,"2018-03"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.44051742553711,48,48,1,"2018-03"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",2.04853439331055,95,95,1,"2018-03"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.91440486907959,42,42,1,"2018-03"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.87906742095947,42,42,1,"2018-03"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.64659833908081,69,69,1,"2018-03"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.11036777496338,27,27,1,"2018-03"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.44717860221863,37,37,1,"2018-03"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.74608421325684,50,50,1,"2018-03"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.04809904098511,67,67,1,"2018-03"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",3.11089253425598,61,61,1,"2018-03"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.39134359359741,67,67,1,"2018-03"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",11.2033224105835,42,42,1,"2018-03"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",5.29026699066162,61,61,1,"2018-03"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.23228693008423,54,54,1,"2018-03"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",19.5984382629395,54,54,1,"2018-04"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.63295364379883,71,71,1,"2018-04"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.55247926712036,65,65,1,"2018-04"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.98304176330566,54,54,1,"2018-04"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.93647384643555,44,44,1,"2018-04"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",4.31327247619629,50,50,1,"2018-04"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",5.39987421035767,24,24,1,"2018-04"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.81576585769653,43,43,1,"2018-04"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.49924492835999,48,48,1,"2018-04"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",2.12129712104797,95,95,1,"2018-04"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.41799163818359,42,42,1,"2018-04"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",8.01650810241699,42,42,1,"2018-04"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.84182929992676,69,69,1,"2018-04"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",10.0162372589111,27,27,1,"2018-04"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.46631574630737,37,37,1,"2018-04"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.52839136123657,50,50,1,"2018-04"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.2297534942627,67,67,1,"2018-04"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",3.01780605316162,61,61,1,"2018-04"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.58026075363159,67,67,1,"2018-04"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",11.3977785110474,42,42,1,"2018-04"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",5.2153263092041,61,61,1,"2018-04"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.34353375434875,54,54,1,"2018-04"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",16.406156539917,54,54,1,"2018-05"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.51371622085571,71,71,1,"2018-05"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.45681762695312,65,65,1,"2018-05"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.84279012680054,54,54,1,"2018-05"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.43156576156616,44,44,1,"2018-05"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.79316210746765,50,50,1,"2018-05"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.76093816757202,24,24,1,"2018-05"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.47181248664856,43,43,1,"2018-05"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.28930497169495,48,48,1,"2018-05"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",2.08450794219971,95,95,1,"2018-05"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.88737344741821,42,42,1,"2018-05"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.61718797683716,42,42,1,"2018-05"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.64887762069702,69,69,1,"2018-05"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.78537273406982,27,27,1,"2018-05"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.22596716880798,37,37,1,"2018-05"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.36332893371582,50,50,1,"2018-05"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.8651294708252,67,67,1,"2018-05"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.88150858879089,61,61,1,"2018-05"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.17148113250732,67,67,1,"2018-05"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",12.0918874740601,42,42,1,"2018-05"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",5.22219753265381,61,61,1,"2018-05"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.18928933143616,54,54,1,"2018-05"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",NA,54,0,0,"2018-06"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",NA,71,0,0,"2018-06"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",NA,65,0,0,"2018-06"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",NA,54,0,0,"2018-06"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",NA,44,0,0,"2018-06"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",NA,50,0,0,"2018-06"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",NA,24,0,0,"2018-06"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",NA,43,0,0,"2018-06"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",NA,48,0,0,"2018-06"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",NA,95,0,0,"2018-06"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",NA,42,0,0,"2018-06"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",NA,42,0,0,"2018-06"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",NA,69,0,0,"2018-06"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",NA,27,0,0,"2018-06"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",NA,37,0,0,"2018-06"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",NA,50,0,0,"2018-06"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",NA,67,0,0,"2018-06"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",NA,61,0,0,"2018-06"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",NA,67,0,0,"2018-06"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",NA,42,0,0,"2018-06"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",NA,61,0,0,"2018-06"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",NA,54,0,0,"2018-06"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",11.5207748413086,54,54,1,"2018-07"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",5.36143255233765,71,71,1,"2018-07"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.52679204940796,65,65,1,"2018-07"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",6.51582098007202,54,54,1,"2018-07"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.42302751541138,44,44,1,"2018-07"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",4.53029537200928,50,50,1,"2018-07"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",5.54497623443604,24,24,1,"2018-07"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.85360717773438,43,43,1,"2018-07"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",4.30106973648071,48,48,1,"2018-07"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",2.04176425933838,95,95,1,"2018-07"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.84575748443604,42,42,1,"2018-07"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.40296268463135,42,42,1,"2018-07"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",5.60427379608154,69,69,1,"2018-07"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.20925140380859,27,27,1,"2018-07"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.45625638961792,37,37,1,"2018-07"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.91276407241821,50,50,1,"2018-07"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.71059131622314,67,67,1,"2018-07"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",3.56155681610107,61,61,1,"2018-07"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.25294399261475,67,67,1,"2018-07"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",12.5416707992554,42,42,1,"2018-07"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",6.26120328903198,61,61,1,"2018-07"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.25746822357178,54,54,1,"2018-07"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",9.75477695465088,54,54,1,"2018-08"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.97062301635742,71,71,1,"2018-08"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.03518414497375,65,65,1,"2018-08"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.44449043273926,54,54,1,"2018-08"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.27350234985352,44,44,1,"2018-08"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.59616661071777,50,50,1,"2018-08"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.04056262969971,24,24,1,"2018-08"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.01728177070618,43,43,1,"2018-08"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.06765198707581,48,48,1,"2018-08"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.55041098594666,95,95,1,"2018-08"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",5.83170604705811,42,42,1,"2018-08"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",5.85375118255615,42,42,1,"2018-08"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.95273327827454,69,69,1,"2018-08"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",5.8917989730835,27,27,1,"2018-08"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.51724028587341,37,37,1,"2018-08"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.65590858459473,50,50,1,"2018-08"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.4764769077301,67,67,1,"2018-08"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.57524180412292,61,61,1,"2018-08"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.14390969276428,67,67,1,"2018-08"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",8.40714263916016,42,42,1,"2018-08"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.25757837295532,61,61,1,"2018-08"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.60701167583466,54,54,1,"2018-08"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",13.4371109008789,54,54,1,"2018-09"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.08326005935669,71,71,1,"2018-09"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.89575922489166,65,65,1,"2018-09"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.37170171737671,54,54,1,"2018-09"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.67048335075378,44,44,1,"2018-09"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.68260550498962,50,50,1,"2018-09"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.62604427337646,24,24,1,"2018-09"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.13856792449951,43,43,1,"2018-09"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.15220904350281,48,48,1,"2018-09"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.60708391666412,95,95,1,"2018-09"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.14674758911133,42,42,1,"2018-09"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.79243946075439,42,42,1,"2018-09"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.4117259979248,69,69,1,"2018-09"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.0978889465332,27,27,1,"2018-09"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.78740930557251,37,37,1,"2018-09"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.18385457992554,50,50,1,"2018-09"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.694504737854,67,67,1,"2018-09"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.66487407684326,61,61,1,"2018-09"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.45406270027161,67,67,1,"2018-09"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.77409648895264,42,42,1,"2018-09"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.71453714370728,61,61,1,"2018-09"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.72335565090179,54,54,1,"2018-09"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",15.9178190231323,54,54,1,"2018-10"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.22883462905884,71,71,1,"2018-10"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.02774381637573,65,65,1,"2018-10"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.88805294036865,54,54,1,"2018-10"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.78487491607666,44,44,1,"2018-10"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.62512612342834,50,50,1,"2018-10"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.9197998046875,24,24,1,"2018-10"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.39765620231628,43,43,1,"2018-10"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.18717074394226,48,48,1,"2018-10"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.69822859764099,95,95,1,"2018-10"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.44725465774536,42,42,1,"2018-10"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.98956108093262,42,42,1,"2018-10"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.43211030960083,69,69,1,"2018-10"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.45059251785278,27,27,1,"2018-10"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.89807462692261,37,37,1,"2018-10"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.23490810394287,50,50,1,"2018-10"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.72141480445862,67,67,1,"2018-10"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.66633248329163,61,61,1,"2018-10"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.70029187202454,67,67,1,"2018-10"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",10.4158868789673,42,42,1,"2018-10"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.61734199523926,61,61,1,"2018-10"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.79769814014435,54,54,1,"2018-10"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",15.7588834762573,54,54,1,"2018-11"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.68910837173462,71,71,1,"2018-11"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.20925569534302,65,65,1,"2018-11"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.13953924179077,54,54,1,"2018-11"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.57471299171448,44,44,1,"2018-11"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.40409827232361,50,50,1,"2018-11"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.3611888885498,24,24,1,"2018-11"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.22345852851868,43,43,1,"2018-11"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.19140672683716,48,48,1,"2018-11"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.70362031459808,95,95,1,"2018-11"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",6.53817272186279,42,42,1,"2018-11"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",5.62407255172729,42,42,1,"2018-11"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.87193465232849,69,69,1,"2018-11"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",6.81865930557251,27,27,1,"2018-11"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.81074905395508,37,37,1,"2018-11"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.32446813583374,50,50,1,"2018-11"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.51012659072876,67,67,1,"2018-11"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.56225037574768,61,61,1,"2018-11"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.14321041107178,67,67,1,"2018-11"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",8.44489860534668,42,42,1,"2018-11"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.378342628479,61,61,1,"2018-11"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.76003730297089,54,54,1,"2018-11"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",20.4011154174805,54,54,1,"2018-12"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.37618947029114,71,71,1,"2018-12"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.19536232948303,65,65,1,"2018-12"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.43392276763916,54,54,1,"2018-12"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.56235480308533,44,44,1,"2018-12"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.279212474823,50,50,1,"2018-12"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.45708513259888,24,24,1,"2018-12"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.30693411827087,43,43,1,"2018-12"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",2.8795690536499,48,48,1,"2018-12"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.762810587883,95,95,1,"2018-12"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.09836864471436,42,42,1,"2018-12"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.03438186645508,42,42,1,"2018-12"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.57223534584045,69,69,1,"2018-12"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.49299621582031,27,27,1,"2018-12"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.80976557731628,37,37,1,"2018-12"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.45261478424072,50,50,1,"2018-12"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.22573518753052,67,67,1,"2018-12"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.38944721221924,61,61,1,"2018-12"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.4378707408905,67,67,1,"2018-12"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",8.58375549316406,42,42,1,"2018-12"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",3.91511702537537,61,61,1,"2018-12"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.83917129039764,54,54,1,"2018-12"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",17.6537456512451,54,54,1,"2019-01"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.58305144309998,71,71,1,"2019-01"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.94606721401215,65,65,1,"2019-01"
